,Date,Open,High,Low,Close,%Cchange,%Pchange
50,2018-03-16,3957.25,3961.5,3881.55,3893.15,-1.6198117379493313,-2.428624635577867
51,2018-03-19,3902.5,3902.5,3817.5,3841.6,-1.5605381165919303,-1.3418887963348651
52,2018-03-20,3824.65,3851.95,3812.4,3820.0,-0.1215797523956464,-0.5654450261780081
53,2018-03-21,3839.65,3863.5,3818.05,3836.2,-0.0898519396299212,0.4222928940096924
54,2018-03-22,3842.45,3859.25,3808.0,3814.2,-0.7352080053091128,-0.5767919878349326
55,2018-03-23,3758.1,3801.4,3753.35,3795.65,0.9991751150847552,-0.4887173474898825
56,2018-03-26,3801.2,3813.6,3745.5,3804.5,0.0868146900978686,0.2326192666579027
57,2018-03-27,3825.7,3855.7,3807.7,3850.05,0.6364848263063064,1.1831015181621063
58,2018-03-28,3832.1,3856.75,3806.1,3845.3,0.3444586519141012,-0.1235274230879255
59,2018-04-02,3862.7,3872.05,3829.85,3846.65,-0.4155124653739542,0.0350954726840213
60,2018-04-03,3844.45,3884.9,3844.2,3881.85,0.9728309641171063,0.9067841364297904
61,2018-04-04,3892.15,3893.2,3814.75,3820.8,-1.833177035828524,-1.5978329145728571
62,2018-04-05,3850.3,3872.95,3849.85,3867.8,0.4545100381788431,1.215161073478463
63,2018-04-06,3880.15,3892.2,3864.4,3885.8,0.1456129273352857,0.463225075917443
64,2018-04-09,3892.45,3925.7,3892.0,3918.0,0.6563989261262234,0.821847881572226
65,2018-04-10,3941.9,3942.5,3910.05,3934.35,-0.1915320023339045,0.4155705516794365
66,2018-04-11,3938.45,3945.9,3864.35,3874.95,-1.6123094110627278,-1.532923005458137
67,2018-04-12,3861.05,3879.85,3837.25,3869.35,0.2149674311391908,-0.1447271505550004
68,2018-04-13,3881.2,3890.8,3850.15,3864.1,-0.4405853859631018,-0.1358660490152946
69,2018-04-16,3851.65,3882.45,3841.9,3878.15,0.6880168239585631,0.362286141588133
70,2018-04-17,3893.8,3912.6,3886.25,3908.65,0.381375520057525,0.7803205710411523
71,2018-04-18,3912.05,3916.1,3891.45,3898.2,-0.354034329827082,-0.2680724436919673
72,2018-04-19,3891.05,3898.25,3861.0,3872.95,-0.4651700697755198,-0.6519578099381609
73,2018-04-20,3871.0,3878.75,3835.25,3857.6,-0.3461637819684859,-0.3979158025715447
74,2018-04-23,3871.9,3876.55,3856.7,3864.3,-0.1962860611069477,0.1733819838004366
75,2018-04-24,3859.55,3875.45,3852.2,3868.05,0.2202329287093055,0.0969480746112382
76,2018-04-25,3866.1,3871.65,3824.75,3833.9,-0.8328806807894212,-0.8907378909204751
77,2018-04-26,3838.7,3842.05,3796.85,3826.75,-0.3113033058066485,-0.1868426210230637
