,Date,Open,High,Low,Close,%Cchange,%Pchange
0,2018-01-02,11587.849609375,11655.5,11558.4501953125,11602.349609375,0.1251310682205347,-0.1249746860608681
1,2018-01-03,11617.349609375,11693.349609375,11573.25,11586.7001953125,-0.2638244960603273,-0.1350635970440583
2,2018-01-04,11599.0498046875,11607.75,11510.400390625,11590.7998046875,-0.0711265158691356,0.0353695124070907
3,2018-01-05,11575.4501953125,11691.4501953125,11541.7998046875,11633.5498046875,0.5019209481677658,0.3674716721698717
4,2018-01-08,11674.349609375,11793.849609375,11661.5,11776.849609375,0.8779932367083484,1.2167923463455432
5,2018-01-09,11805.349609375,11819.349609375,11685.75,11790.849609375,-0.1228256720875516,0.11873614254963
6,2018-01-10,11803.849609375,12076.25,11762.5,12054.7001953125,2.1251591153640788,2.188777668980096
7,2018-01-11,12060.7998046875,12178.7998046875,12045.4501953125,12103.099609375,0.3507213897295595,0.3998927185975571
8,2018-01-12,12144.7998046875,12146.75,12004.400390625,12099.2001953125,-0.3754661263119382,-0.0322286928024442
9,2018-01-15,12103.5,12214.650390625,11971.9501953125,11992.7998046875,-0.9146130897054572,-0.8872022576697428
10,2018-01-16,12036.5498046875,12487.25,12027.2998046875,12430.9501953125,3.2766897244209066,3.5246733655985447
11,2018-01-17,12473.0498046875,12653.25,12432.75,12531.400390625,0.4678133002849973,0.8015879485236851
12,2018-01-18,12565.849609375,12605.150390625,12431.7998046875,12570.7001953125,0.0386013368636938,0.3126301962253028
13,2018-01-19,12577.25,12668.5498046875,12485.2998046875,12633.849609375,0.4500157774950804,0.4998430091778179
14,2018-01-22,12544.599609375,12924.599609375,12521.150390625,12894.9501953125,2.7928399219347844,2.024828184543232
15,2018-01-23,12919.2998046875,13084.2001953125,12898.25,13048.900390625,1.0031548760133049,1.179794394193596
16,2018-01-24,13020.2998046875,13553.9501953125,13005.9501953125,13249.5498046875,1.7607121451801488,1.5143866547942113
17,2018-01-25,13257.900390625,13259.150390625,12996.75,13117.849609375,-1.0563571691112832,-1.0039770178366518
